voivodeship;sample_size;source_checked_count;to_verify_count;low_season_average_per_day_pln;high_season_average_per_day_pln;reference_average_per_day_pln;low_season_21_days_pln;high_season_21_days_pln;low_season_28_days_pln;high_season_28_days_pln;reference_21_days_pln;reference_28_days_pln;median_reference_per_day_pln
dolnośląskie;2;2;0;270.0;300.0;285.0;5670.0;6300.0;7560.0;8400.0;5985.0;7980.0;285.0
kujawsko-pomorskie;3;2;1;303.0;309.67;306.33;6363.0;6503.07;8484.0;8670.76;6432.93;8577.24;319.0
lubelskie;3;3;0;240.0;273.33;256.67;5040.0;5739.93;6720.0;7653.24;5390.07;7186.76;245.0
mazowieckie;2;0;2;375.43;375.43;375.43;7884.03;7884.03;10512.04;10512.04;7884.03;10512.04;375.43
małopolskie;2;0;2;259.53;272.89;266.22;5450.13;5730.69;7266.84;7640.92;5590.62;7454.16;266.22
podkarpackie;2;2;0;352.5;360.5;356.5;7402.5;7570.5;9870.0;10094.0;7486.5;9982.0;356.5
podlaskie;2;1;1;412.5;412.5;412.5;8662.5;8662.5;11550.0;11550.0;8662.5;11550.0;412.5
pomorskie;2;2;0;294.28;316.78;305.53;6179.88;6652.38;8239.84;8869.84;6416.13;8554.84;305.53
warmińsko-mazurskie;1;0;1;216.0;324.0;270.0;4536.0;6804.0;6048.0;9072.0;5670.0;7560.0;270.0
zachodniopomorskie;5;2;3;270.14;292.14;280.14;5672.94;6134.94;7563.92;8179.92;5882.94;7843.92;302.14
łódzkie;1;1;0;368.57;368.57;368.57;7739.97;7739.97;10319.96;10319.96;7739.97;10319.96;368.57
śląskie;2;1;1;324.5;342.5;333.5;6814.5;7192.5;9086.0;9590.0;7003.5;9338.0;333.5
świętokrzyskie;2;0;2;376.0;379.5;377.75;7896.0;7969.5;10528.0;10626.0;7932.75;10577.0;377.75
